name,author,price,editorial,publication_date,num_pages,language,lista_temas
Stormlight Archive 3 Oathbringer,BRANDON SANDERSON,"₡9,900",TOR BOOKS,2019,1328,Inglés,"Ficción,Otras Lenguas,Inglés"
Elantris,BRANDON SANDERSON,"₡8,900",TOR BOOKS,2006,656,Inglés,"Ficción,Otras Lenguas,Inglés"
Skyward 04 Defiant,BRANDON SANDERSON,"₡8,900",DELACORTE PRESS,2024,432,Inglés,"Ficción,Otras Lenguas,Inglés"
Estelar (Escuadrón 2),BRANDON SANDERSON,"₡11,900",B DE BOLSILLO,2024,464,Español,"Ficción,Literatura,Ciencia Ficción"
Skyward 01 Skyward,BRANDON SANDERSON,"₡11,900",EMBER,2019,544,Inglés,"Ficción,Literatura,Adulto Joven"
Escuadron 01 Escuadron,BRANDON SANDERSON,"₡11,900",B DE BOLSILLO,2024,,Español,"Ficción,Literatura,Ciencia Ficción"
Citónica (Escuadrón 3),BRANDON SANDERSON,"₡11,900",B DE BOLSILLO,2024,456,Español,"Ficción,Literatura,Ciencia Ficción"
Skyward 03 Cytonic,BRANDON SANDERSON,"₡11,900",EMBER,2022,432,Inglés,"Ficción,Literatura,Adulto Joven"
Reckoners 01 Steelheart,BRANDON SANDERSON,"₡10,500",EMBER,2014,416,Inglés,"Ficción,Literatura,Adulto Joven"
Escuadrón 3 Citónica,BRANDON SANDERSON,"₡16,800",NOVA,2021,432,Español,"Ficción,Literatura,Ciencia Ficción"
Reckoners 03 Calamity,BRANDON SANDERSON,"₡8,900",DELACORTE PRESS,2020,496,Inglés,"Ficción,Literatura,Adulto Joven"
Skyward 02 Starsight,BRANDON SANDERSON,"₡11,900",EMBER,2021,480,Inglés,"Ficción,Literatura,Adulto Joven"
Reckoners 02 Firefight,BRANDON SANDERSON,"₡10,500",EMBER,2016,646,Inglés,"Ficción,Literatura,Adulto Joven"
Rithmatist,BRANDON SANDERSON,"₡9,500",TOR TEEN,2014,384,Inglés,"Ficción,Otras Lenguas,Inglés"
Desafiante (Escuadrón 4),BRANDON SANDERSON,"₡18,000",NOVA,2023,382,Español,"Ficción,Literatura,Ciencia Ficción"
Arcanum Ilimitado,BRANDON SANDERSON,"₡13,500",B DE BOLSILLO,2023,,Español,"Ficción,Literatura,Fantasía"
Nacidos de la Bruma 7 El Metal Perdido (TD),BRANDON SANDERSON,"₡19,800",NOVA,2022,640,Español,"Ficción,Literatura,Fantasía"
Archivo de las tormentas 1 El camino de los reyes,BRANDON SANDERSON,"₡26,800",NOVA,2015,1200,Español,"Ficción,Literatura,Fantasía"
Nacidos de la Bruma 5 Sombras de identidad,BRANDON SANDERSON,"₡11,900",B DE BOLSILLO,2019,448,Español,"Ficción,Literatura,Adulto Joven"
Nacidos de la Bruma 6 Brazales de duelo,BRANDON SANDERSON,"₡19,800",NOVA,2017,200,Español,"Ficción,Literatura,Adulto Joven"
El imperio final (Nacidos de la Bruma 1),BRANDON SANDERSON,"₡18,000",NOVA,2024,672,Español,"Ficción,Literatura,Fantasía"
Aleación de ley (Nacidos de la bruma 04 ),BRANDON SANDERSON,"₡19,800",NOVA,2017,352,Español,"Ficción,Literatura,Fantasía"
Alcatraz Vs The Evil Librarians 1,BRANDON SANDERSON,"₡7,900",STARSCAPE BOOKS,2022,320,Inglés,"Libros,9 a 12 años,Súper lectores"
Nacidos De La Bruma 5 Sombras De Identidad,BRANDON SANDERSON,"₡19,800",NOVA,2017,440,Español,"Ficción,Literatura,Adulto Joven"
Wax & Wayne 01. Aleación de ley,BRANDON SANDERSON,"₡13,500",B DE BOLSILLO,2024,352,Español,"Ficción,Literatura,Adulto Joven"
Alcatraz 01 contra los Bibliotecarios Malvados,BRANDON SANDERSON,"₡13,900",B DE BLOK,2023,320,Español,"Ficción,Literatura,Adulto Joven"
Wax & Wayne 03. Brazales de duelo,BRANDON SANDERSON,"₡13,500",B DE BOLSILLO,2024,512,Español,"Ficción,Literatura,Adulto Joven"
Aleación de ley (Wax & Wayne 1),BRANDON SANDERSON,"₡11,900",B DE BOLSILLO,2023,352,Español,"Ficción,Literatura,Adulto Joven"
Stormlight Archive 4 Rhythm Of War,BRANDON SANDERSON,"₡9,900",TOR BOOKS,2022,1296,Inglés,"Ficción,Otras Lenguas,Inglés"
Archivo de las tormentas 2 Palabras radiantes,BRANDON SANDERSON,"₡14,800",B DE BOLSILLO,2022,1248,Español,"Ficción,Literatura,Fantasía"
Alcatraz 3 Los Caballeros de Cristalia,BRANDON SANDERSON,"₡12,800",B DE BLOCK,2018,320,Español,"Ficción,Literatura,Adulto Joven"
Alcatraz 2 Los Huesos del escriba,BRANDON SANDERSON,"₡12,800",B DE BLOCK,2018,320,Español,"Ficción,Literatura,Adulto Joven"
Dark One 1 (Graphic Novel),BRANDON SANDERSON,"₡15,900",SIMON & SCHUSTER BOOKS FOR YOU,2023,224,Inglés,"Ficción,Novela Gráfica"
Nacidos de la Bruma 01 ( El imperio final nacidos de la Bruma),BRANDON SANDERSON,"₡11,900",B DE BOLSILLO,2024,680,Español,"Ficción,Literatura,Fantasía"
La guía del mago frugal para sobrevivir en la Inglaterra del Medievo (Novela Secreta 2) (TD),BRANDON SANDERSON,"₡19,800",NOVA,2023,448,Español,"Ficción,Literatura,Fantasía"
Novela Secreta 03 Yumi y El Pintor de Pesadillas (Edición Limitada) (TD),BRANDON SANDERSON,"₡14,800",B DE BOLSILLO,2025,560,Español,"Ficción,Literatura,Fantasía"
Alcatraz Vs The Evil Librarians 06 Bastille Vs The Evil Librarians,BRANDON SANDERSON,"₡8,500",STARSCAPE BOOKS,2023,272,Inglés,"Ficción,Literatura,Adulto Joven"
Novela Secreta 02 La guía del mago frugal (Edición Limitada) (TD),BRANDON SANDERSON,"₡14,800",B DE BOLSILLO,2025,448,Español,"Ficción,Literatura,Fantasía"
Nacidos de la Bruma 2 El pozo de la ascensión (TD),BRANDON SANDERSON,"₡22,800",NOVA,2021,784,Español,"Ficción,Literatura,Adulto Joven"
Nacidos de la Bruma 3 El héroe de las eras,BRANDON SANDERSON,"₡11,900",B DE BOLSILLO,2021,760,Español,"Ficción,Literatura,Adulto Joven"
Secret Projects 2 Frugal Wizards Handbook For Surviving Medieval England (HC),BRANDON SANDERSON,"₡22,800",TOR BOOKS,2023,384,Inglés,"Ficción,Otras Lenguas,Inglés"
Alcatraz Vs The Evil Librarians 2 Scriveners Bones,BRANDON SANDERSON,"₡8,700",STARSCAPE BOOKS,2022,368,Inglés,"Libros,9 a 12 años,Súper lectores"
Novela Secreta 04 Trenza del Mar Esmeralda (Edición Limitada) (TD),BRANDON SANDERSON,"₡14,800",B DE BOLSILLO,2025,560,Español,"Ficción,Literatura,Fantasía"
Alcatraz Vs The Evil Librarians 5 Dark Talent,BRANDON SANDERSON,"₡7,900",STARSCAPE BOOKS,2022,304,Inglés,"Libros,9 a 12 años,Súper lectores"
Novela Secreta 04 El Hombre Iluminado (Edición Limitada) (TD),BRANDON SANDERSON,"₡14,800",B DE BOLSILLO,2025,544,Español,"Ficción,Literatura,Fantasía"
Archivo de las tormentas 1 El camino de los reyes,BRANDON SANDERSON,"₡14,800",B DE BOLSILLO,2022,1200,Español,"Ficción,Literatura,Fantasía"
Secret Projects 3 Yumi And The Nightmare Painter (HC),BRANDON SANDERSON,"₡22,800",TOR BOOKS,2023,400,Inglés,"Ficción,Otras Lenguas,Inglés"
Stormlight Archive 1 Way Of Kings,BRANDON SANDERSON,"₡9,900",TOR BOOKS,2011,,Inglés,"Ficción,Otras Lenguas,Inglés"
El Pozo de la ascensión (Nacidos en las brumas 2),BRANDON SANDERSON,"₡16,800",NOVA,2024,784,Español,"Ficción,Literatura,Fantasía"
Secret Projects 4 Sunlit Man (HC),BRANDON SANDERSON,"₡19,800",TOR BOOKS,2024,400,Inglés,"Ficción,Otras Lenguas,Inglés"
Mistborn 07 Lost Metal (International Edition),BRANDON SANDERSON,"₡14,800",TOR BOOKS,2020,673,Inglés,"Ficción,Otras Lenguas,Inglés"
Mistborn 06 Bands Of Mourning (Ne),BRANDON SANDERSON,"₡17,500",TOR BOOKS,2023,480,Inglés,"Ficción,Otras Lenguas,Inglés"
Stormlight Archive 2 Words Of Radiance,BRANDON SANDERSON,"₡9,900",TOR BOOKS,2015,1328,Inglés,"Ficción,Literatura,Adulto Joven"
Novela Secreta 04 El Hombre Iluminado (TD),BRANDON SANDERSON,"₡19,800",NOVA,2023,544,Español,"Ficción,Literatura,Fantasía"
Archivo de las tormentas 2 Palabras radiantes,BRANDON SANDERSON,"₡26,800",NOVA,2015,1248,Español,"Ficción,Literatura,Fantasía"
Mistborn 05 Shadows Of Self (Ne),BRANDON SANDERSON,"₡17,500",TOR BOOKS,2023,400,Inglés,"Ficción,Otras Lenguas,Inglés"
Stormlight Archive 3.5 Dawnshard (HC),BRANDON SANDERSON,"₡9,900",TOR BOOKS,2022,304,Inglés,"Ficción,Otras Lenguas,Inglés"
Elantris (Cantos Pintados) (TD),BRANDON SANDERSON,"₡12,800",B DE BOLSILLO,2024,800,Español,"Ficción,Literatura,Novela Contemporánea"
Mistborn 5 Shadows Of Self,BRANDON SANDERSON,"₡7,900",PAGE STREET PUBLISHING,2021,1,Inglés,"Ficción,Otras Lenguas,Inglés"
El metal perdido (Wax & Wayne 04),BRANDON SANDERSON,"₡16,800",NOVA,2024,640,Español,"Ficción,Literatura,Fantasía"
Aleación de ley  (Wax & Wayne 01),BRANDON SANDERSON,"₡18,000",NOVA,2024,352,Español,"Ficción,Literatura,Fantasía"
Sombras de identidad (Wax & Wayne 02),BRANDON SANDERSON,"₡18,000",NOVA,2024,440,Español,"Ficción,Literatura,Fantasía"
Mistborn 6 Bands Of Mourning,BRANDON SANDERSON,"₡7,900",TOR BOOKS,2017,536,Inglés,"Ficción,Otras Lenguas,Inglés"
Novela Secreta 1 Trenza del Mar Esmeralda (TD),BRANDON SANDERSON,"₡19,800",NOVA,2023,560,Español,"Ficción,Literatura,Fantasía"
Mistborn 07 Lost Metal (Ne),BRANDON SANDERSON,"₡19,500",TOR BOOKS,2023,528,Inglés,"Ficción,Otras Lenguas,Inglés"
